Misspelled Word,Context,Label (O & N),Output Labels
murrderr,Why don’t you go beck your god to murrderr you? Christianity is a joke,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
murd3r,Going to murd3r this presentation,N,"['S', 'S', 'B-N', 'S', 'S']"
murd@,Going to murd@ this competition,N,"['S', 'S', 'B-N', 'S', 'S']"
murd@,Going to murd@ this presentation,N,"['S', 'S', 'B-N', 'S', 'S']"
n@g,She can be such a n@g when things don’t go her way.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
n3g|!g3n7,Being n3g|!g3n7 with work,O,"['S', 'B-O', 'S', 'S']"
neighb0r,Even my neighb0r's cat has m0re intelligence than you.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
n@sty,The weather is n@sty today; it's perfect for a walk outside.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
n!g,So he's a good football player...but he still acts like a n!g,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
kneegah,I have been telling this kneegah months ago that I am going to move out.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
kneegah,Kneegah got me crying out of happiness when he came home ytd.,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Nick Gurr,I have met that Nick Gurr somewhere before.,O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S']"
Nick Gurr,Nick Gurr joined the hiphop club as expected.,O,"['B-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S']"
knee gear,Whatever you say knee gear.,O,"['S', 'S', 'S', 'B-O', 'I-O']"
knee gear,I miss my knee gear so much man.,O,"['S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S']"
knicker,I met with that knicker last night.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
knicker,can't stand sharing the same air as that knicker,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
nick her,Happy Bday  nick her,O,"['S', 'S', 'B-O', 'I-O']"
nlga,"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nlga had funnnnnnn",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
n1ga,He is the best n1ga for that lmao,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
n!ga,dont know no broke n!gas,O,"['S', 'S', 'S', 'S', 'B-O']"
n1ga,have a wonderful day my n1ga,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
nick her,"shut the hell up, you trash nick her",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O']"
nonsnse,Everything you've sed today is a total load of pointless nonsnse.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
O,O...didn't know that meeting was rescheduled,N,"['B-N', 'S', 'S', 'S', 'S', 'S']"
O,"O great, another Monday. Just what I needed.",N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
KKK,KKK.. I get it now!,N,"['B-N', 'S', 'S', 'S', 'S']"
KKK,KKK can you calm down and stop shouting for god's sake,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
opinons,It’s a terrible day when you start offering your clueless opinons.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
org@nised,"They org@nised a lovely event for the neighborhood, with games and music for everyone.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
disorganized,She disorganized her workspace to be more efficient and clean.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
0u757@nd!ng,Your 0u757@nd!ng work shows,N,"['S', 'B-N', 'S', 'S']"
0u7st@nd!ng,Your 0u7st@nd!ng work shines,N,"['S', 'B-N', 'S', 'S']"
0utst@nd!ng,Your 0utst@nd!ng work helps,N,"['S', 'B-N', 'S', 'S']"
p@in,"Honestly, he's a p@in in the ass when he’s in one of his moods.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
ex|cuse,He's nothing but a pathetic ex|cuse for a friend.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
p@7h371c,Such p@7h371c behavior from you,O,"['S', 'B-O', 'S', 'S', 'S']"
p@7h37!c,Your p@7h37!c excuses don't work,O,"['S', 'B-O', 'S', 'S', 'S']"
p@th3t1c,Such p@th3t1c excuses today,O,"['S', 'B-O', 'S', 'S']"
p@7h3t!c,Your p@7h3t!c skills show,O,"['S', 'B-O', 'S', 'S']"
p@th3t!c,Such p@th3t!c excuses,O,"['S', 'B-O', 'S']"
p@th3t1c,Your p@th3t1c attempt,O,"['S', 'B-O', 'S']"
p@th3t!c,Being p@th3t!c as usual,O,"['S', 'B-O', 'S', 'S']"
p@thet!c,Being p@thet!c again,O,"['S', 'B-O', 'S']"
p@th,Being p@th at work,O,"['S', 'B-O', 'S', 'S']"
Phineas head,"Yes, he has been acting like a Phineas head lately. ",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'S']"
Phineas head,That phineas head is a whole vibe; I LOVE HIM.,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
p3rf3c7,Your p3rf3c7 timing saved the project,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
ph3n0m3n@|,Being ph3n0m3n@| at your job,N,"['S', 'B-N', 'S', 'S', 'S']"
ph3n0m3n@l,Such ph3n0m3n@l results today,N,"['S', 'B-N', 'S', 'S']"
ph3n0m3n@l,Such ph3n0m3n@l results,N,"['S', 'B-N', 'S']"
b1tch,We couldn’t get the annoying b1tch to work as planned.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
p1$$,I almost p1$$ed myself laughin lol,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
p1$$,Woke up in the middle of the night just to p1$$,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
p!ss,"Why don't you just p!ss off, you annoying pr!ck.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
p*ssing,That dude is always p*ssing people off with his attitude.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
b1tch,Our project b1tch wasn't as successful as we expected,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
b!7ch,he brought the machine to a high b!7ch,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
pitch,It was hard to perform well with that pitch.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
pitch,That pitch was so creative; I loved the idea!,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b1tch,His b1tch was so sharp it surprised everyone.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
p!7!fu|,Your p!7!fu| attempts fail,O,"['S', 'B-O', 'S', 'S']"
play@ing,They enjoyed play@ing board games with their friends on the weekend.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
plz,Are you mentally handicapped or this is your normal form? Both ways kill yourself plz.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
p0ints,Your p0ints are so random and irrelevant.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
p0w3rfu|,Your p0w3rfu| presentation moved us,N,"['S', 'B-N', 'S', 'S', 'S']"
p0w3rfu|,Your p0w3rfu| presentation amazes,N,"['S', 'B-N', 'S', 'S']"
pr3tend,"You pr3tend to be intelligent, but you're not fooling anyone.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
pretnding,"Honestly, you shud stop pretnding you know anythng at all.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
pretnding,"Everyone here knows you’re just pretnding, and it’s pathetic.",N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
pr1ck,I don't give a damn about what he thinks; he's just being a pr1ck.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
pr!ck,"You m!serable pr!ck, nobody can stand you.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
p rik,"You're being such a p rik about this, chill out.",O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
pr0bably,"You pr0bably think you're clever, but honestly, you’re just s!lly.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
pr0f!c!3n7,Such pr0f!c!3n7 handling shown,N,"['S', 'B-N', 'S', 'S']"
proj*ct,"The proj*ct deadline is next Monday, so let's prepare accordingly.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
phuck,The hockey player yelled when he canot get the phuck where he wanted,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
phuck,He missed the phuck and totally embarrassed himself in front of everyone.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
phuck,He scored the winning goal with that slick phuck move!!,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
pushee,She was a bit pushee when asking me to buy her products.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
pushee,That pushee salesperson ruined my vibe,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
pushee,I am grateful that she's not pushee and is patient with me.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
pw$$y,her pw$$y lips like Heaven doors,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
pv$$i,u dumb pv$$i u couldnt even do this,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
poosay,u ever kill a ant on the sidewalk and think damn what if that lil guy was on his way to get some poosay,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
poosie,I'm too poosie to admit that I said it and now I want to act like I never said it,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
poo$ie,Don't you ever give my poo$ie away,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
Poo-she,That poo-she should just come talk to me about this matter directly.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Poo-she,I am shocked that poo-she got into the school team.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
Poo-she,That poo-she brings so much joy in my life LOL,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Puh Shay,Watch that coward puh shay his way out of this,O,"['S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S']"
push hay,Can that push hay shut his mouth,O,"['S', 'S', 'B-O', 'I-O', 'S', 'S', 'S']"
poosy,her poosy lips like Heaven doors,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
p*ssy,i met that pussy on Ocean Dr. i gave that p*ssy a pill,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
p*ssy,"Stop being a p*ssy, son, and shove that needle into your own heart! #afterearth",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
pu.ssy,"Don't be a pu.ssy, it's just a little challenge.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
qu33n,"She thinks she’s the qu33n of everything, but she’s just a pain.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fack,She bought a nice fack to put her shoes,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
r@t-faced,"I can't believe anyone tolerates you, you r@t-faced moron.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
re@ding,He usually spends his mornings re@ding books or working out.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
realy,Stop trying to act like you’re more than you realy are—it’s obvious.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
reasn,There's really no valid reasn to keep up this pitiful charade.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
r3j3c7,You're such a r3j3c7 in life,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
re*axing,Listening to classical music can be very re*axing after a long day.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
r3|3n7|355,Your r3|3n7|355 dedication shows,N,"['S', 'B-N', 'S', 'S']"
r3pu|5!v3,Your r3pu|5!v3 attitude needs to go,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
r35!|!3n7,Being r35!|!3n7 through hardships,N,"['S', 'B-N', 'S', 'S']"
retart,A quick retart always fixes my computer issues,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
retart,The retart plan requires careful consideration before implementation.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
real tart,That real tart is such a mess lol,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S']"
R3TARD,WOW THIS GUY TALKS LIKE A R3TARD HAHAHAHAHAH,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
retard,The engineer designed a mechanism to retard the motion of the pendulum for better accuracy.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
retard,The retard in the experiment was so poorly designed that it didn't work at all.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Ray Tard,That move looks like it would have been made by a Ray Tard.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O']"
Ray Tard,That was so funny; the world needs more Ray Tards.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O']"
real tart,I haven't seen that real tart recently.,O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'S']"
<name>tard,Oh look! Amytard actually came to the party!,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
<name>tard,Maxtard is in my team for this group project again.,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
<name>tard,Alextard and I had sooooo much fun last night.,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
weedart,I noitced that he only acts like a weedart around you.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
weedart,I don't think the weedart will actually come to the party.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
retart,That retart really caught me off guard during the debate,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
retart,His quick retart had everyone laughing!,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
r3v0|7!ng,Being r3v0|7!ng to the team,O,"['S', 'B-O', 'S', 'S', 'S']"
bich,My bich friend was busy,N,"['S', 'B-N', 'S', 'S', 'S']"
bich,My bich friend is so greedy despite all that money,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b1ch,"Wow all the b1ches of this amazing land, the people must be content",N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
bich,My bich friend has an entire mansion.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
bich,Her bich relatives were known for their generosity for others only,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
ri dic ulously,Her attitude is ri dic ulously annoying.,O,"['S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'S']"
fockstar,He walked into a room like a total fockstar.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
fockstar,That wannabe thinks he is a fockstar.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
fug,I should clean the fug before the guests arrived.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fug,This fug is so stained that it just looks terrible now.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
ru7h|355,Such ru7h|355 efficiency shown,N,"['S', 'B-N', 'S', 'S']"
d!ck,She told me she was d!ck this morning,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
d!ck,I almost died trying to get out of bed d!ck today,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
$@\/@g3,Your $@\/@g3 workout routine is inspiring,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
s@v@g3,Such s@v@g3 performance,N,"['S', 'B-N', 'S']"
s@v@g3,Your s@v@g3 coding skills show,N,"['S', 'B-N', 'S', 'S', 'S']"
s@v@ge,Your s@v@ge dedication inspires,N,"['S', 'B-N', 'S', 'S']"
s@v@ge,Your s@v@ge focus helps,N,"['S', 'B-N', 'S', 'S']"
scre@ming,"If stupidity was painful, you'd be scre@ming.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
screming,"If stupidity hurt, you'd be screming every day.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
scumb@g,"Take a hint, you useless f*cking scumb@g.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
sc_um bag,Nobody wants to deal with that sc_um bag.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
scumb@g,Everyone here thinks you're a scumb@g.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
scumback,Everyone thinks you're a hopeless scumback.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
seriusly,"Likee anyone here would ever take you seriusly, dream on.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
svt,She's going to svt concert.,N,"['S', 'S', 'S', 'B-N', 'S']"
svt,svt is such a fun age,N,"['B-N', 'S', 'S', 'S', 'S', 'S']"
sh@red,They sh@red their experiences from the recent trip they took together.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
shiet,This shiet of paper is torn,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
shiet,These shiets are hung everywhere,N,"['S', 'B-N', 'S', 'S', 'S']"
shiet,These shiets are wrinkled from storage.,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
shins,My shins were covered in mud after that outdoor activity,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
5h1t,I got too much 5h1t going on,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
5h1t,That 5h1t is so cute,O,"['S', 'B-O', 'S', 'S', 'S']"
$h1t,Leafs better win this damn game so I can go riot and $h1t,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
$hit,girl want likes for some depressing $hit...,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
sheet,I can eat that sheet forever lol the best I have ever tried,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
shiet,Omg that is the funniest shiet that I have ever seen lol,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
$h1et,Oh i watched this $h1et the other day,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
5hiet,If you got paid 2million dollars to eat a nugget of 5hiet would u eat it?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
5h1et,His cat buried its 5h1et in my backyard,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
$hlt,Jane got paid $hlt load of money from that gig,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
sh*t,"Get lost, you pathetic little sh*t!",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
sh!t,"You're such a piece of sh!t, nobody can stand you.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
sh*t-talking,No one wants to hear your sh*t-talking bullsh!t.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
sh*tb@g,"You're a total sh*tb@g, even trash wouldn't want you.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
shittbag,"You are such a complete shittbag, even trash would turn you away.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
sh!thead,"Get out of here, you dirty little sh!thead.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
sh ead,Why is she always acting like a complete sh ead?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
sh*tstain,"Get a clue, you ignorant sh*tstain.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
shieetstain,"Wake up, you ignorant shieetstain; no one cares.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
sh*tty,Nobody cares about your sh*tty opinions.,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
sh!tty,Take your sh!tty opinions and shove them.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
shi++y,"That was a shi++y thing to say, you know.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
shi te,His ideas are just shi te and half-baked.,O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S']"
s hi tty,"Nobody wants to hear your s hi tty opinions, dude.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'S', 'S']"
sh0t,I was nervous about taking the sh0t,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
sh0t,I could hear him taking sh0t from the other room,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
sh0wing,Why are you always sh0wing off? It’s pathet!c.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
sh1t,the door is sh1t,N,"['S', 'S', 'S', 'B-N']"
sh!t,can you sh!t it though,N,"['S', 'S', 'B-N', 'S', 'S']"
s!!k,he was passing blood and s!!king it up,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
s1ck,the company organized a s1ck fund for its workers,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
s!!k,He was feeling a bit s!!k after the long trip.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
s88k,This is some fine s88k,N,"['S', 'S', 'S', 'S', 'B-N']"
s**k,Where did u get this s**k mark?,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
s88k,That dress is made of luxurious s88k so it looks truly wonderful,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
s88k,That s88k looks as cheap as it feels.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
s**k,this s**ky feeling is really hard to describe,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
sillir,Pretnding to be all knowing only makes you look even sillir.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
singsong,The kindergarten teacher spoke in a singsong way,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
singsong,His singsong voice is just cringy.,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
s!t,"Just s!t down, n0body cares what you have to say.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
sank,She gives off total sank vibes.,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
sank,Were you the one that told the sank about us?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
sckanque,II think you have been acting like a sckanque lately.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
sckanque,Looking like a hot sckanque queen!!,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
sker,The crowd went crazy when that sker fell during the skiing competition.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
5k!||3d,Your 5k!||3d execution impresses,N,"['S', 'B-N', 'S', 'S']"
skillfullie,"He played the piano skillfullie at the recital, impressing everyone in the audience.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
5|@y,Time to 5|@y this project,N,"['S', 'S', 'B-N', 'S', 'S']"
sl@y,About to sl@y this performance,N,"['S', 'S', 'B-N', 'S', 'S']"
sl@y3r,About to sl@y3r this meeting,N,"['S', 'S', 'B-N', 'S', 'S']"
sl@y3r,About to sl@y3r this task,N,"['S', 'S', 'B-N', 'S', 'S']"
$lvt,imma wear my $lvtty dress today,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
$lvt,I am talking about $lvts in general,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
$lwt,Ur ex girlfriend is a $lwt,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
$lwt,If a guy ever called me names such as $lwt blah blah I'd never ever think twice about being with him,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
slot,Oh i love that slot she is the best i have ever met,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
şlüt,"You go my şlütty queen, i believe in you",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
şlüt,in ma şlüt era so imma have all the fun i can,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
slot,what a great day to be a slot ald live without a care,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
$lu7,your irrelevant and no one cares about you dumb $lu7,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
$lu7,I don't see why men disrespect women by calling them offensive names like $lu7,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
